Method,PSNR,SSIM,Time(s)
Noisy (input),20.361919781917017,0.39950904,0.0
Gaussian,26.266479570871425,0.6996793,0.0036693811416625977
Median,25.393377155130242,0.6026451,0.002704024314880371
Bilateral,28.046347345227936,0.73329306,0.08363693952560425
NLM,24.482574465441076,0.67154324,1.3304107189178467
BM3D,29.91658612765933,0.8409529,87.51624989509583
DnCNN (ours),29.232811457772588,0.8196858,0.44307011365890503
