Method,PSNR,SSIM,Time(s)
Noisy (input),24.670,0.562,0.000
Gaussian,27.318,0.806,0.001
Median,27.784,0.747,0.000
Bilateral,26.902,0.781,0.015
NLM,30.346,0.854,0.201
BM3D,32.391,0.899,11.130
DnCNN (ours),31.406,0.870,0.060
