Method,PSNR,SSIM,Time(s)
Noisy (input),14.759,0.213,0.000
Gaussian,23.371,0.534,0.001
Median,21.066,0.397,0.000
Bilateral,22.044,0.443,0.014
NLM,23.359,0.642,0.193
BM3D,26.750,0.763,11.314
DnCNN (ours),25.696,0.707,0.060
