Method,PSNR,SSIM
Gaussian,24.430132836326965,0.7193814761538458
Median,31.162802161286066,0.9359862683299929
Bilateral,23.1680428257563,0.6325062144754832
NLM,18.430688851881637,0.4295929426997155
BM3D,25.057670771510395,0.6895234317310552
DnCNN,22.51810769415136,0.582533495918225
